R (m),Z (m),Psi (normalized to 1 at LCFS),Ne (m^-3),Te (eV),Bz (T)
0,-0.00073342,0,3.00E+19,609.99,0.41752
0.0015,-0.00073342,0,3.00E+19,609.99,0.41752
0.003,-0.00073342,0.00025022,3.00E+19,609.96,0.41705
0.0045,-0.00073342,0.00050915,3.00E+19,609.93,0.41656
0.006,-0.00073342,0.0012343,3.00E+19,609.88,0.41561
0.0075,-0.00073342,0.0020117,3.00E+19,609.83,0.4146
0.009,-0.00073342,0.0032125,3.00E+19,609.75,0.415
0.0105,-0.00073342,0.0044988,3.00E+19,609.66,0.41568
0.012,-0.00073342,0.0061854,3.00E+19,609.56,0.41541
0.0135,-0.00073342,0.0079952,3.00E+19,609.45,0.41485
0.015,-0.00073342,0.010159,3.00E+19,609.32,0.41498
0.0165,-0.00073342,0.012476,3.00E+19,609.18,0.4154
0.018,-0.00073342,0.015123,3.00E+19,609.02,0.41503
0.0195,-0.00073342,0.017964,2.99E+19,608.85,0.41418
0.021,-0.00073342,0.021086,2.99E+19,608.67,0.41419
0.0225,-0.00073342,0.024426,2.99E+19,608.48,0.41486
0.024,-0.00073342,0.028029,2.99E+19,608.27,0.41481
0.0255,-0.00073342,0.0319,2.99E+19,608.04,0.41404
0.027,-0.00073342,0.035984,2.99E+19,607.8,0.41378
0.0285,-0.00073342,0.040351,2.99E+19,607.54,0.41419
0.03,-0.00073342,0.044907,2.99E+19,607.28,0.41436
0.0315,-0.00073342,0.0498,2.98E+19,606.99,0.4141
0.033,-0.00073342,0.054842,2.98E+19,606.7,0.41381
0.0345,-0.00073342,0.06024,2.98E+19,606.38,0.41349
0.036,-0.00073342,0.065754,2.98E+19,606.05,0.41329
0.0375,-0.00073342,0.071657,2.98E+19,605.7,0.4135
0.039,-0.00073342,0.077644,2.98E+19,605.34,0.41364
0.0405,-0.00073342,0.084071,2.97E+19,604.95,0.41346
0.042,-0.00073342,0.090545,2.97E+19,604.56,0.41325
0.0435,-0.00073342,0.097476,2.97E+19,604.14,0.41278
0.045,-0.00073342,0.10442,2.97E+19,603.72,0.41233
0.0465,-0.00073342,0.11184,2.97E+19,603.26,0.41271
0.048,-0.00073342,0.11927,2.96E+19,602.81,0.41308
0.0495,-0.00073342,0.1272,2.96E+19,602.31,0.41261
0.051,-0.00073342,0.13516,2.96E+19,601.81,0.41209
0.0525,-0.00073342,0.14355,2.96E+19,601.28,0.41202
0.054,-0.00073342,0.15199,2.95E+19,600.74,0.412
0.0555,-0.00073342,0.16086,2.95E+19,600.18,0.41165
0.057,-0.00073342,0.16982,2.95E+19,599.6,0.41122
0.0585,-0.00073342,0.17915,2.94E+19,598.99,0.41117
0.06,-0.00073342,0.1886,2.94E+19,598.36,0.41123
0.0615,-0.00073342,0.1984,2.94E+19,597.71,0.41103
0.063,-0.00073342,0.20836,2.94E+19,597.03,0.41073
0.0645,-0.00073342,0.21863,2.93E+19,596.33,0.41031
0.066,-0.00073342,0.22908,2.93E+19,595.61,0.40984
0.0675,-0.00073342,0.23981,2.92E+19,594.86,0.40975
0.069,-0.00073342,0.25076,2.92E+19,594.09,0.40996
0.0705,-0.00073342,0.26196,2.92E+19,593.28,0.40986
0.072,-0.00073342,0.27342,2.91E+19,592.45,0.40943
0.0735,-0.00073342,0.28508,2.91E+19,591.59,0.40909
0.075,-0.00073342,0.29702,2.90E+19,590.7,0.40885
0.0765,-0.00073342,0.30914,2.90E+19,589.78,0.40861
0.078,-0.00073342,0.32158,2.89E+19,588.82,0.40834
0.0795,-0.00073342,0.33415,2.89E+19,587.84,0.40807
0.081,-0.00073342,0.34708,2.88E+19,586.81,0.40779
0.0825,-0.00073342,0.36011,2.88E+19,585.75,0.40752
0.084,-0.00073342,0.37353,2.87E+19,584.64,0.40729
0.0855,-0.00073342,0.38702,2.87E+19,583.5,0.40705
0.087,-0.00073342,0.40093,2.86E+19,582.3,0.40672
0.0885,-0.00073342,0.41488,2.86E+19,581.09,0.40638
0.09,-0.00073342,0.42926,2.85E+19,579.78,0.406
0.0915,-0.00073342,0.44365,2.84E+19,578.47,0.40564
0.093,-0.00073342,0.45851,2.84E+19,577.06,0.4055
0.0945,-0.00073342,0.47337,2.83E+19,575.64,0.40537
0.096,-0.00073342,0.48871,2.82E+19,574.1,0.40509
0.0975,-0.00073342,0.50407,2.81E+19,572.56,0.4048
0.099,-0.00073342,0.51983,2.80E+19,570.89,0.40435
0.1005,-0.00073342,0.53564,2.80E+19,569.2,0.40387
0.102,-0.00073342,0.55184,2.79E+19,567.38,0.4036
0.1035,-0.00073342,0.56814,2.78E+19,565.52,0.40339
0.105,-0.00073342,0.58481,2.77E+19,563.51,0.40307
0.1065,-0.00073342,0.6016,2.76E+19,561.46,0.40271
0.108,-0.00073342,0.6187,2.75E+19,559.24,0.40231
0.1095,-0.00073342,0.63595,2.73E+19,556.94,0.4019
0.111,-0.00073342,0.65348,2.72E+19,554.47,0.40154
0.1125,-0.00073342,0.6712,2.71E+19,551.88,0.40122
0.114,-0.00073342,0.68917,2.70E+19,549.09,0.40086
0.1155,-0.00073342,0.70735,2.68E+19,546.15,0.40048
0.117,-0.00073342,0.72576,2.66E+19,542.97,0.40007
0.1185,-0.00073342,0.7444,2.65E+19,539.55,0.39963
0.12,-0.00073342,0.76323,2.63E+19,535.8,0.39925
0.1215,-0.00073342,0.78233,2.61E+19,531.59,0.39897
0.123,-0.00073342,0.80158,2.59E+19,527.35,0.39863
0.1245,-0.00073342,0.82115,2.57E+19,523.05,0.39818
0.126,-0.00073342,0.84084,2.54E+19,517.3,0.39774
0.1275,-0.00073342,0.86085,2.49E+19,507.82,0.39735
0.129,-0.00073342,0.88095,2.45E+19,500.64,0.39696
0.1305,-0.00073342,0.90142,2.46E+19,501.98,0.39656
0.132,-0.00073342,0.92195,2.42E+19,494.48,0.39615
0.1335,-0.00073342,0.94286,2.13E+19,435.51,0.39571
0.135,-0.00073342,0.96381,1.79E+19,367.71,0.39527
0.1365,-0.00073342,0.98517,9.64E+18,198.31,0.39486
0.138,-0.00073342,1.0065,1.49E+18,31.04,0.39445
0.1395,-0.00073342,1.0282,8.20E+17,21.15,0.39405
0.141,-0.00073342,1.05,1.55E+17,11.26,0.39365
0.1425,-0.00073342,1.0722,1.08E+17,10.373,0.39308
0.144,-0.00073342,1.0944,1.01E+17,10.061,0.39249
0.1455,-0.00073342,1.117,1.00E+17,10.013,0.39207
0.147,-0.00073342,1.1397,1.00E+17,10.004,0.39168
0.1485,-0.00073342,1.1627,1.00E+17,10.002,0.39128
0.15,-0.00073342,1.1858,1.00E+17,10.002,0.39088
0.1515,-0.00073342,1.2092,1.00E+17,10.002,0.3904
0.153,-0.00073342,1.2328,1.00E+17,10.002,0.3899
0.1545,-0.00073342,1.2566,1.00E+17,10.002,0.38938
0.156,-0.00073342,1.2805,1.00E+17,10.002,0.38886
0.1575,-0.00073342,1.3047,1.00E+17,10.002,0.38839
0.159,-0.00073342,1.3291,1.00E+17,10.002,0.38796
0.1605,-0.00073342,1.3537,1.00E+17,10.002,0.38746
0.162,-0.00073342,1.3785,1.00E+17,10.002,0.38691
0.1635,-0.00073342,1.4035,1.00E+17,10.002,0.38636
0.165,-0.00073342,1.4286,1.00E+17,10.002,0.38583
0.1665,-0.00073342,1.454,1.00E+17,10.002,0.38535
