z,ne,Te,Bz
-0.986667,3.1791e+19,800,16.1106
-0.973333,3.1791e+19,800,16.1146
-0.96,3.1791e+19,800,15.8023
-0.946667,3.1791e+19,800,15.1957
-0.933333,3.1791e+19,800,14.3458
-0.92,3.1791e+19,800,13.3305
-0.906667,3.1791e+19,800,12.2387
-0.893333,3.1791e+19,800,11.1498
-0.88,3.1791e+19,800,10.1193
-0.866667,3.1791e+19,800,9.17284
-0.853333,3.1791e+19,800,8.31855
-0.84,3.1791e+19,800,7.55368
-0.826667,3.1791e+19,800,6.87164
-0.813333,3.1791e+19,800,6.26334
-0.8,3.1791e+19,800,5.72064
-0.786667,3.1791e+19,800,5.23612
-0.773333,3.1791e+19,800,4.80319
-0.76,3.1791e+19,800,4.41453
-0.746667,3.1791e+19,800,4.06714
-0.733333,3.1791e+19,800,3.75475
-0.72,3.1791e+19,800,3.47366
-0.706667,3.1791e+19,800,3.22156
-0.693333,3.1791e+19,800,2.9937
-0.68,3.1791e+19,800,2.78752
-0.666667,3.1791e+19,800,2.60319
-0.653333,3.1791e+19,800,2.43554
-0.64,3.1791e+19,800,2.28398
-0.626667,3.1791e+19,800,2.14744
-0.613333,3.1791e+19,800,2.02317
-0.6,3.1791e+19,800,1.91136
-0.586667,3.1791e+19,800,1.80951
-0.573333,3.1791e+19,800,1.71692
-0.56,3.1791e+19,800,1.6339
-0.546667,3.1791e+19,800,1.55745
-0.533333,3.1791e+19,800,1.4885
-0.52,3.1791e+19,800,1.42589
-0.506667,3.1791e+19,800,1.36957
-0.493333,3.1791e+19,800,1.31708
-0.48,3.1791e+19,800,1.27072
-0.466667,3.1791e+19,800,1.22827
-0.453333,3.1791e+19,800,1.1892
-0.44,3.1791e+19,800,1.15436
-0.426667,3.1791e+19,800,1.12283
-0.413333,3.1791e+19,800,1.09323
-0.4,3.1791e+19,800,1.068
-0.386667,3.1791e+19,800,1.04394
-0.373333,3.1791e+19,800,1.02274
-0.36,3.1791e+19,800,1.00357
-0.346667,3.1791e+19,800,0.986307
-0.333333,3.1791e+19,800,0.970135
-0.32,3.1791e+19,800,0.95633
-0.306667,3.1791e+19,800,0.943601
-0.293333,3.1791e+19,800,0.931557
-0.28,3.1791e+19,800,0.920987
-0.266667,3.1791e+19,800,0.912048
-0.253333,3.1791e+19,800,0.903505
-0.24,3.1791e+19,800,0.895677
-0.226667,3.1791e+19,800,0.889111
-0.213333,3.1791e+19,800,0.883145
-0.2,3.1791e+19,800,0.877241
-0.186667,3.1791e+19,800,0.872499
-0.173333,3.1791e+19,800,0.868854
-0.16,3.1791e+19,800,0.863967
-0.146667,3.1791e+19,800,0.860807
-0.133333,3.1791e+19,800,0.858035
-0.12,3.1791e+19,800,0.855149
-0.106667,3.1791e+19,800,0.853096
-0.0933332,3.1791e+19,800,0.85106
-0.0799999,3.1791e+19,800,0.849391
-0.0666666,3.1791e+19,800,0.848363
-0.0533333,3.1791e+19,800,0.846894
-0.04,3.1791e+19,800,0.846464
-0.0266666,3.1791e+19,800,0.84604
-0.0133333,3.1791e+19,800,0.84543
0,3.1791e+19,800,0.845488
0.0133333,3.1791e+19,800,0.84543
0.0266666,3.1791e+19,800,0.846041
0.04,3.1791e+19,800,0.846464
0.0533333,3.1791e+19,800,0.846894
0.0666666,3.1791e+19,800,0.848363
0.0799999,3.1791e+19,800,0.849391
0.0933332,3.1791e+19,800,0.85106
0.106667,3.1791e+19,800,0.853096
0.12,3.1791e+19,800,0.855149
0.133333,3.1791e+19,800,0.858021
0.146667,3.1791e+19,800,0.861011
0.16,3.1791e+19,800,0.863989
0.173333,3.1791e+19,800,0.868812
0.186666,3.1791e+19,800,0.872513
0.2,3.1791e+19,800,0.877164
0.213333,3.1791e+19,800,0.883144
0.226666,3.1791e+19,800,0.889208
0.24,3.1791e+19,800,0.89565
0.253334,3.1791e+19,800,0.903428
0.266667,3.1791e+19,800,0.911984
0.28,3.1791e+19,800,0.921016
0.293334,3.1791e+19,800,0.931349
0.306667,3.1791e+19,800,0.943753
0.32,3.1791e+19,800,0.956285
0.333333,3.1791e+19,800,0.969958
0.346667,3.1791e+19,800,0.986429
0.36,3.1791e+19,800,1.00352
0.373333,3.1791e+19,800,1.02279
0.386667,3.1791e+19,800,1.04394
0.4,3.1791e+19,800,1.068
0.413333,3.1791e+19,800,1.09323
0.426667,3.1791e+19,800,1.12283
0.44,3.1791e+19,800,1.15436
0.453333,3.1791e+19,800,1.1892
0.466667,3.1791e+19,800,1.22827
0.48,3.1791e+19,800,1.27072
0.493333,3.1791e+19,800,1.31708
0.506667,3.1791e+19,800,1.36957
0.52,3.1791e+19,800,1.42589
0.533333,3.1791e+19,800,1.4885
0.546667,3.1791e+19,800,1.55745
0.56,3.1791e+19,800,1.6339
0.573333,3.1791e+19,800,1.71692
0.586667,3.1791e+19,800,1.80951
0.6,3.1791e+19,800,1.91136
0.613333,3.1791e+19,800,2.02317
0.626667,3.1791e+19,800,2.14727
0.64,3.1791e+19,800,2.28402
0.653333,3.1791e+19,800,2.43528
0.666667,3.1791e+19,800,2.60294
0.68,3.1791e+19,800,2.78756
0.693333,3.1791e+19,800,2.99344
0.706666,3.1791e+19,800,3.22148
0.72,3.1791e+19,800,3.47363
0.733333,3.1791e+19,800,3.75458
0.746666,3.1791e+19,800,4.06703
0.76,3.1791e+19,800,4.41454
0.773334,3.1791e+19,800,4.80326
0.786667,3.1791e+19,800,5.23612
0.8,3.1791e+19,800,5.72052
0.813334,3.1791e+19,800,6.26338
0.826667,3.1791e+19,800,6.87154
0.84,3.1791e+19,800,7.55365
0.853333,3.1791e+19,800,8.31861
0.866667,3.1791e+19,800,9.17265
0.88,3.1791e+19,800,10.1193
0.893333,3.1791e+19,800,11.1498
0.906667,3.1791e+19,800,12.2387
0.92,3.1791e+19,800,13.3305
0.933333,3.1791e+19,800,14.3458
0.946667,3.1791e+19,800,15.1957
0.96,3.1791e+19,800,15.8023
0.973333,3.1791e+19,800,16.1147
0.986667,3.1791e+19,800,16.1106
